,A0,B0,C0
0,-5982.299100221049,-6758.2734086069195,-6298.75565870246
1,-4786.555310029005,-4854.699076778537,-5671.884668725404
2,-4920.918950702975,-5069.302293142944,-5139.79634181942
3,-6093.530919941826,-5571.880626773756,-5584.695902439269
4,-5612.909591826583,-5927.044153510559,-5121.170345050769
5,-6043.916503471446,-6276.720761118798,-5736.684120698825
6,-5826.740520870442,-6265.4489460726645,-6563.414749116449
7,-5313.876559811944,-4782.820179535614,-4990.79550119123
8,-5024.85201130159,-5883.862302250038,-5383.7907228619315
9,-4691.931834798934,-4700.261643377646,-4775.272401973818
10,-4302.954551107377,-4641.2532355181,-3903.0797023542946
11,-4546.473769761495,-4138.922437906731,-3903.9194205577196
12,-4283.480243636796,-4016.3045241402247,-3993.6781641966
13,-4017.8741250685493,-3835.6909100520325,-4150.601921278299
14,-3260.11512838504,-3301.4970982864725,-3395.303266692502
15,-3534.622731761832,-3633.1796825580177,-3221.216987033601
16,-3324.409122271381,-3480.3004488211545,-3466.5981984170326
17,-3902.923875245236,-3822.580042566335,-4213.225559504372
18,-4004.8441740370827,-3951.6442496609475,-4126.299033028076
19,-2945.1735146621486,-3021.7125809088757,-2815.2757617012276
20,-2924.0940399594347,-3559.544210398294,-2955.048406072468
21,-2838.236103286625,-2889.9959354733633,-2816.619863555242
22,-2721.910172673044,-2785.0408049880934,-2786.2290964100193
23,-2895.3987491231264,-2889.6025932983393,-2944.952442452911
24,-2827.3681751679405,-2826.496032948745,-2801.1797571272987
25,-2944.8758232942123,-2696.6348151768375,-2804.5719217642613
26,-2738.469254784931,-2739.4621752633366,-2677.856535163927
27,-2848.4698043433773,-2678.6707434163322,-2718.3550088195166
28,-2669.9371986690485,-2695.021175655397,-2647.977605040985
29,-2706.5704344445944,-2659.689146695894,-2678.836074844511
30,-2667.2956266409624,-2685.109556533015,-2640.4967345662362
31,-2704.2332640272953,-2624.6028858508935,-2683.891738890733
32,-2763.1700905701005,-2712.7694093583323,-2629.928116880926
33,-2916.846641232042,-2819.426180219189,-2738.1104125284473
34,-2671.8163382225166,-2793.664788172121,-2789.745667838238
35,-2720.127061320591,-2739.1047480816196,-2625.7153478598884
36,-2695.9435098154336,-2639.051656603612,-2597.8604449908703
37,-2818.1469864700553,-2742.20692731145,-2753.008449293386
38,-2824.8892175988076,-2875.716394168554,-2865.5517899876636
39,-2872.490434783854,-2977.956387102443,-2834.223029765293
40,-2823.4947269524964,-2773.56049984781,-2811.617753213894
41,-2914.391492282678,-2825.766277087738,-2901.4175865412644
42,-2698.1648733159445,-3035.293469350344,-2861.577440989347
43,-2672.114918974851,-2748.9424152119514,-2682.9675224908947
44,-2729.7119205936,-2899.2080969569374,-2828.241255755571
45,-2817.611977934567,-2765.956734325724,-2902.6722396477467
46,-2832.8680258606732,-2936.8022306793114,-2936.2991901309515
47,-2852.841752531531,-2821.281389674576,-2840.9705889179304
48,-2762.867815620902,-2555.85542163678,-2790.2255690349025
49,-2778.5635863862262,-2644.4813737804366,-3013.0300415814654
50,-2444.060966866421,-2582.825266591088,-2669.707190261604
51,-2650.247509810216,-2642.3153135473385,-2742.5839598756197
52,-2638.972820586283,-2672.172171501411,-2553.9323262120965
53,-2751.272253826299,-2631.0995533524697,-2753.5043065390014
54,-2705.591500969997,-2651.485747220979,-2638.3035940689515
55,-2552.4109389198366,-2726.3376962195725,-2838.6130069047417
56,-2796.8256417616,-2638.1433742065306,-2540.921063278606
57,-2576.1341634878613,-2583.989743638773,-2520.3314869451765
58,-2468.4010252256357,-2610.151997375766,-2441.826577181033
59,-2710.4212984031647,-2517.0260331854734,-2472.6638034340003
60,-2411.3914628916787,-2382.6282457365023,-2542.1660636435854
61,-2403.8160880852397,-2712.3060236426345,-2464.766835230856
62,-2447.7728413634263,-2323.7555957643895,-2474.404228949408
